track_id	subtraj_id	mode	p_coeff_um-2	lifetime_s	area_nm2	distance_nm	steps
0	0	free_diff	1.7555826968250035	25.44	18731.0	239363.0	795
1	0	free_diff	0.7295252331074088	25.44	18042.0	169859.0	795
2	0	free_diff	0.06363582069703917	25.44	17720.0	111288.0	795
3	0	free_diff	0.08024114429348886	25.44	15547.0	110824.0	795
4	0	free_diff	0.04717392969706021	25.44	20021.0	107635.0	795
5	0	free_diff	0.15642322696801647	25.44	11339.0	112504.0	795
6	0	free_diff	0.08527278235395412	25.44	15793.0	115352.0	795
7	0	free_diff	0.2963863518396045	25.44	19570.0	139648.0	795
8	0	free_diff	0.0515639474629268	25.44	19728.0	111958.0	795
9	0	free_diff	0.2659806343828664	25.44	8571.0	110210.0	795
10	0	free_diff	0.09066051152308649	25.44	14484.0	110054.0	795
11	0	free_diff	0.11747813733016323	25.44	13144.0	112857.0	795
12	0	free_diff	0.05666277346565451	25.44	18350.0	109086.0	795
13	0	free_diff	0.07733932504311622	25.44	15724.0	109878.0	795
14	0	free_diff	0.08472365370329586	25.44	15323.0	112086.0	795
15	0	free_diff	0.038006527333860674	25.44	22456.0	109633.0	795
16	0	free_diff	0.29430379224961434	25.44	8455.0	113924.0	795
17	0	free_diff	5.819770461367988	1.536	432.0	6394.0	48
18	0	free_diff	0.17508922754431694	17.152	8889.0	77040.0	536
19	0	free_diff	0.34212104845181196	7.36	3999.0	31063.0	230
